,Males,Females
Total,4003933,4394815
Under 5,273348,261720
5 to 9,228933,223976
10 to 14,248637,235312
15 to 17,135533,131797
18 to 19,87901,89680
20,47979,48934
21,47373,50882
22 to 24,161402,176596
25 to 29,377437,399501
30 to 34,355646,367448
35 to 39,295265,312491
40 to 44,261209,278183
45 to 49,253695,274776
50 to 54,251279,276124
55 to 59,250240,267155
60 to 61,91966,112667
62 to 64,123154,155029
65 to 66,76994,88271
67 to 69,97804,126442
70 to 74,131645,178780
75 to 79,92373,134701
80 to 84,52287,96270
85 and over,52287,108080
